# x_m,y_m,w_tr_right_m,w_tr_left_m
9.6493,13.0498,1.6000,1.6000
9.5993,13.0498,1.6000,1.6000
9.5493,12.9998,1.5500,1.5500
9.4993,12.9998,1.5500,1.5500
9.4493,12.9998,1.5500,1.5500
9.3993,12.9998,1.5500,1.5500
9.3493,12.9998,1.5500,1.5500
9.2993,12.9998,1.5500,1.5500
9.2493,12.9998,1.5500,1.5500
9.1993,12.9498,1.5000,1.5000
9.1493,12.9498,1.5000,1.5000
9.0993,12.9498,1.5008,1.5008
9.0493,12.9498,1.5033,1.5033
8.9993,12.8998,1.4577,1.4577
8.9493,12.8998,1.4637,1.4637
8.8993,12.8998,1.4714,1.4714
8.8493,12.8998,1.4807,1.4807
8.7993,12.8498,1.4431,1.4431
8.7493,12.8498,1.4560,1.4560
8.6993,12.8498,1.4705,1.4705
8.6493,12.7998,1.4396,1.4396
8.5993,12.7998,1.4560,1.4560
8.5493,12.7998,1.4705,1.4705
8.4993,12.7998,1.4866,1.4866
8.4493,12.7998,1.5042,1.5042
8.3993,12.7498,1.4773,1.4773
8.3493,12.7498,1.4983,1.4983
8.2993,12.7498,1.5207,1.5207
8.2493,12.7498,1.5435,1.5435
8.1993,12.7498,1.5652,1.5652
8.1493,12.6998,1.5435,1.5435
8.0993,12.6998,1.5652,1.5652
8.0493,12.6998,1.5882,1.5882
7.9993,12.6498,1.5652,1.5652
7.9493,12.6498,1.5882,1.5882
7.8993,12.6498,1.5882,1.5882
7.8493,12.5998,1.5882,1.5882
7.7993,12.5998,1.5882,1.5882
7.7493,12.5498,1.5882,1.5882
7.6993,12.5498,1.5882,1.5882
7.6493,12.4998,1.5882,1.5882
7.5993,12.4998,1.5882,1.5882
7.5493,12.4998,1.5652,1.5652
7.4993,12.4998,1.5435,1.5435
7.4493,12.4998,1.5207,1.5207
7.3993,12.4498,1.5435,1.5435
7.3493,12.4498,1.5207,1.5207
7.2993,12.4498,1.4983,1.4983
